name;year;BRA;COL
cbr;1950;46,432;46,7370
cbr;1951;46,354;46,7450
cbr;1952;46,189;46,8810
cbr;1953;46,006;46,9700
cbr;1954;45,813;46,9700
cbr;1955;45,567;46,9420
cbr;1956;45,295;46,8560
cbr;1957;45,013;46,7320
cbr;1958;44,679;46,5630
cbr;1959;44,312;46,2890
cbr;1960;43,860;45,9570
cbr;1961;43,431;45,5470
cbr;1962;42,844;44,9830
cbr;1963;42,176;44,2800
cbr;1964;41,238;43,4950
cbr;1965;40,106;42,4010
cbr;1966;39,020;41,2050
cbr;1967;37,882;39,9780
cbr;1968;36,827;38,6480
cbr;1969;36,137;37,3270
cbr;1970;35,624;36,1210
cbr;1971;35,094;35,0440
cbr;1972;34,641;34,0920
cbr;1973;34,258;33,3860
cbr;1974;33,619;32,8180
cbr;1975;33,366;32,4620
cbr;1976;33,173;32,2270
cbr;1977;32,966;32,0230
cbr;1978;32,741;31,8170
cbr;1979;32,461;31,6630
cbr;1980;32,152;31,2860
cbr;1981;31,756;30,9360
cbr;1982;31,213;30,5480
cbr;1983;30,578;30,0080
cbr;1984;29,804;29,5770
cbr;1985;28,990;29,1420
cbr;1986;28,090;28,7420
cbr;1987;27,334;28,3660
cbr;1988;26,420;28,0130
cbr;1989;25,661;27,7000
cbr;1990;24,844;27,3740
cbr;1991;24,148;27,0110
cbr;1992;23,376;26,5590
cbr;1993;23,022;26,0910
cbr;1994;22,586;25,5300
cbr;1995;22,319;24,9390
cbr;1996;21,846;24,3510
cbr;1997;21,477;23,7310
cbr;1998;21,060;23,1650
cbr;1999;20,445;22,6490
cbr;2000;19,841;22,1140
cbr;2001;19,271;21,5760
cbr;2002;18,574;21,0210
cbr;2003;17,850;20,4440
cbr;2004;17,632;19,8530
cbr;2005;17,335;19,2650
cbr;2006;16,852;18,6880
cbr;2007;16,372;18,1730
cbr;2008;15,943;17,7020
cbr;2009;15,715;17,2750
cbr;2010;15,492;16,9090
cbr;2011;15,309;16,6090
cbr;2012;14,939;16,3440
cbr;2013;14,690;16,0880
cbr;2014;14,753;15,8340
cbr;2015;14,727;15,5850
cbr;2016;14,051;15,3530
cbr;2017;14,159;15,0810
cbr;2018;14,133;14,8410
cbr;2019;13,633;14,6820
cbr;2020;13,078;14,4350
cbr;2021;12,883;14,2040
cbr;2022;12,649;13,9210
cbr;2023;12,475;13,6940
cbr;2024;12,300;13,4140
cbr;2025;12,149;13,1570
cbr;2026;12,050;12,9130
cbr;2027;11,846;12,7020
cbr;2028;11,704;12,4710
cbr;2029;11,534;12,2910
cbr;2030;11,452;12,0760
cdr;1950;17,315;17,4670
cdr;1951;17,079;16,9510
cdr;1952;16,761;16,2790
cdr;1953;16,515;15,6270
cdr;1954;16,132;15,0540
cdr;1955;15,790;14,5480
cdr;1956;15,438;14,1250
cdr;1957;15,098;13,2530
cdr;1958;14,756;12,9220
cdr;1959;14,373;12,3180
cdr;1960;14,025;11,8730
cdr;1961;13,662;11,4770
cdr;1962;13,301;11,0960
cdr;1963;12,952;10,7010
cdr;1964;12,621;10,3560
cdr;1965;12,279;10,0250
cdr;1966;11,968;9,7110
cdr;1967;11,660;9,4280
cdr;1968;11,341;9,1390
cdr;1969;11,062;8,8530
cdr;1970;10,820;8,5790
cdr;1971;10,595;8,2630
cdr;1972;10,367;7,9560
cdr;1973;10,157;7,6850
cdr;1974;9,954;7,4040
cdr;1975;9,744;7,1270
cdr;1976;9,568;6,8940
cdr;1977;9,392;6,6760
cdr;1978;9,203;6,4840
cdr;1979;8,989;6,3430
cdr;1980;8,779;6,1730
cdr;1981;8,558;6,0660
cdr;1982;8,346;5,9600
cdr;1983;8,153;5,8970
cdr;1984;7,970;5,8320
cdr;1985;7,796;6,5320
cdr;1986;7,615;5,7880
cdr;1987;7,447;5,8290
cdr;1988;7,310;5,8300
cdr;1989;7,165;5,8260
cdr;1990;7,158;5,8340
